SINE/Alu,active promoter,Blood cancer,0.35757042
SINE/Alu,weak promoter,Blood cancer,0.347832043
SINE/Alu,strong enhancer,Blood cancer,1.417555808
SINE/Alu,weak enhancer,Blood cancer,4.258292939
SINE/Alu,repressed regions,Blood cancer,9.841889867
SINE/Alu,insulator,Blood cancer,0.336880608
SINE/Mir,active promoter,Blood cancer,0.473832238
SINE/Mir,weak promoter,Blood cancer,0.465478917
SINE/Mir,strong enhancer,Blood cancer,2.294048875
SINE/Mir,weak enhancer,Blood cancer,4.224223244
SINE/Mir,repressed regions,Blood cancer,11.05319006
SINE/Mir,insulator,Blood cancer,0.859645178
LINE/L1 Ancestral,active promoter,Blood cancer,0.114028021
LINE/L1 Ancestral,weak promoter,Blood cancer,0.218927328
LINE/L1 Ancestral,strong enhancer,Blood cancer,0.409315567
LINE/L1 Ancestral,weak enhancer,Blood cancer,1.377936717
LINE/L1 Ancestral,repressed regions,Blood cancer,3.260800265
LINE/L1 Ancestral,insulator,Blood cancer,0.193207058
LINE/L1 Recent,active promoter,Blood cancer,0.123445154
LINE/L1 Recent,weak promoter,Blood cancer,0.424927828
LINE/L1 Recent,strong enhancer,Blood cancer,0.518068791
LINE/L1 Recent,weak enhancer,Blood cancer,1.969384213
LINE/L1 Recent,repressed regions,Blood cancer,3.318641961
LINE/L1 Recent,insulator,Blood cancer,0.183715807
LINE/L2,active promoter,Blood cancer,0.266951448
LINE/L2,weak promoter,Blood cancer,0.399389092
LINE/L2,strong enhancer,Blood cancer,2.049647605
LINE/L2,weak enhancer,Blood cancer,4.379503693
LINE/L2,repressed regions,Blood cancer,8.962014268
LINE/L2,insulator,Blood cancer,0.643630679
LTR/ERV1,active promoter,Blood cancer,0.436505328
LTR/ERV1,weak promoter,Blood cancer,0.507701402
LTR/ERV1,strong enhancer,Blood cancer,2.344098755
LTR/ERV1,weak enhancer,Blood cancer,5.24089051
LTR/ERV1,repressed regions,Blood cancer,5.86044391
LTR/ERV1,insulator,Blood cancer,0.598512208
DNA/hAT-Charlie,active promoter,Blood cancer,0.277239778
DNA/hAT-Charlie,weak promoter,Blood cancer,0.393286922
DNA/hAT-Charlie,strong enhancer,Blood cancer,1.416386964
DNA/hAT-Charlie,weak enhancer,Blood cancer,3.364587436
DNA/hAT-Charlie,repressed regions,Blood cancer,8.654189462
DNA/hAT-Charlie,insulator,Blood cancer,0.860636706
SINE/Alu,active promoter,Liver cancer,0.341632761
SINE/Alu,weak promoter,Liver cancer,0.821554251
SINE/Alu,strong enhancer,Liver cancer,1.134961303
SINE/Alu,weak enhancer,Liver cancer,3.268443293
SINE/Alu,repressed regions,Liver cancer,4.297784351
SINE/Alu,insulator,Liver cancer,0.115643874
SINE/Mir,active promoter,Liver cancer,0.645760562
SINE/Mir,weak promoter,Liver cancer,1.04551902
SINE/Mir,strong enhancer,Liver cancer,1.849940518
SINE/Mir,weak enhancer,Liver cancer,3.50905282
SINE/Mir,repressed regions,Liver cancer,5.884410831
SINE/Mir,insulator,Liver cancer,0.430536285
LINE/L1 Ancestral,active promoter,Liver cancer,0.057607955
LINE/L1 Ancestral,weak promoter,Liver cancer,0.227108186
LINE/L1 Ancestral,strong enhancer,Liver cancer,0.306655175
LINE/L1 Ancestral,weak enhancer,Liver cancer,1.073449945
LINE/L1 Ancestral,repressed regions,Liver cancer,2.138886941
LINE/L1 Ancestral,insulator,Liver cancer,0.155974183
LINE/L1 Recent,active promoter,Liver cancer,0.040694921
LINE/L1 Recent,weak promoter,Liver cancer,0.309872273
LINE/L1 Recent,strong enhancer,Liver cancer,0.367134917
